Nuevos Talleres  de Estudios Regionales IV,22-Jun,24-Jun,Villa Clara,Hotel Eurostars Cayo Santa María. Cayos de Villa clara,Gaviota Tours,Yldelisa Perez Gonzalez                                              ,(53 42)  211908,,aliciaa@uclv.edu.cu   ,
IV Convención Internacional de la Ingeniería en Cuba: CIIC ,23-jun.,25-jun.,Matanzas,Varadero. ,HAVANATUR,MsC.Ing. Kyra Bueno Risco P                             Coordinador Genera: Arq. Ramón Recondo,,,,
Segunda Convención de Ciencias Técnicas de la Universidad de Oriente,25-jun.,28-jun.,Santiago de Cuba,Santiago de Cuba,CUBATUR,Dra.Arq.Elsi María López Arias,,,,
XV Simposio Internacional de Pensamiento Latinoamericano.,26-jun.,29-jun.,Villa Clara,"Centro de Convenciones “Simón Bolívar”, Santa Clara.",Gaviota Tours,"Dra. Iris Laurerio Ramírez,  Dr. Miguel Rojas Gómez,  MSc. Anayansi Castellón. MSc. Daily Cordero.                                                        ", (53 42) 281519,(53 42) 211905,"dailycm@uclv.edu.cu, lenaesther@uclv.edu.cu, 12simp@uclv.edu.cu",www.filosofia.cu 
GESEMAP 2016. X Congreso Internacional de Gestión Empresarial y Administración Pública ,27-jun.,30-jun.,La Habana,Palacio de las Convenciones.,HAVANATUR,MSc. Gerardo Montenegro Morán E.mail: ,,,"montenegro@mes.gob.cu, congreso.gesemap@gmail.com",
CORHABANA 2016. XII Festival Internacional de Coros ,27-jun.,2-jul.,La Habana,"Teatro Nacional de Cuba; Basílica Menor de San Fco. de Asís, Oratoria de San Felipe Neri, Iglesia de Paula y Centro Hispanoamericano de Cultura, entre otros. ",PARADISO,"Digna Guerra Ramírez, Madelaine Masses Balvidares
Tel.: (53 7) 832 4521 al 22
dguerra@cubarte.cult.cu; corhabana2016@amadeo.cult.cu
",,,,
VII Congreso Internacional de Educación y Pedagogía Especial. IV Simposio de la Educación Primaria. ,27-jun.,30-jun.,La Habana,Palacio de las Convenciones.,CUBATUR,Dr.C. Santiago Borges Rodríguez,(53 7) 274 1484; 2741485, (53 7) 274 1485,santiago@celaee.rimed.cu,www.celaee.rimed.cu
XV Simposio Internacional de Pensamiento Latinoamericano,27-Jun,30-Jun,Villa Clara,Centro de Convenciones Bolivar. Santa Clara. ,Gaviota Tours,Dr. Miguel Rojas Gómez ,(53 42) 281520,,miguelr@uclv.edu.cu ,
XXXV Festival del Caribe. ,3-jul.,9-jul., Santiago de Cuba,Casa del Caribe.,Paradiso,"Orlando Vergés Martínez
   
",(53 22) 643609; 668668; 668667,,caribe@cultstgo.cult.cu,www.casadelcaribe.cultstgo.cu 
XII Encuentro Internacional: Escuela de Verano de La Habana 2016 sobre Temas Penales Contemporáneos,4-jul.,8-jul.,La Habana,Hotel Nacional de Cuba. ,VIAJES CUBANACÁN S.A.,Msc. Migdalia Velázquez Pérez, (53 7) 832 29680,(53 7) 833 3382      ,"unjc@unjc.co.cu, cuba.juristas@yahoo.es",www.unjc.co.cu 
Salón Internacional de Alimentos Bebidas y Food Services. Feria de alimentos Cuba.,5-jul.,7-jul.,La Habana,PABEXPO. La Habana,,,,,,
"Primer Coloquio Internacional de Educación de Jóvenes y Adultos: Desafíos en el contexto económico, político y social actual",11-jul.,13-jul.,La Habana,Palacio de las Convenciones. La Habana,CUBATUR,"Maura Tomasén  León                                                    José del Real Hernández
Tel.: (53 7) 8322422                                                        Tel.: (53 7) 2741478
dir.adultos@mined.rimed.cu; mtomasen@mined.rimed.cu;
coloquioadultos@mined.rimed.cu;  delreal@iplac.rimed.cu",,,,
"XII Encuentro Internacional de Educación Inicial y Preescolar:""De la gestación al futuro: atención a la diversidad y desarrollo integral""",11-jul.,15-jul.,La Habana,Palacio de las Convenciones. La Habana,CUBATUR,"Isabel Ríos Leonard 
Tel.: (53 7) 274 1482; 274 1483
isabel@celep.rimed.cu; celep@celep.rimed.cu  
www.celep.rimed.cu",,,,
XII Congreso Latinoamericano y VI Congreso Cubano de Apicultura. ,18-jul.,22-jul.,La Habana,Palacio de las Convenciones. La Habana,CUBATUR,,,,,
Congreso de Enfermedades y Rehabilitación de Profesionales del Arte,18-jul.,22-jul.,La Habana,Palacio de las Convenciones de La Habana,Havanatur,Dr.MSc. Luis Felipe Heredia Guerra                                                        e-mail: ifhg@infomed.sld.cu,,,,
5ta Conferencia Mundial sobre Producción y Gestión de Operaciones,5-sep.,9-sep.,La Habana,Palacio de las Convenciones de La Habana,,,,,,
HABANARTE,8-sep.,18-sep.,La Habana,Espacios culturales. La Habana,Paradiso,VM Fernando Rojas,"(53 7) 838 2282; 833 2941
","(53 7) 833 2941
",fernandor@min.cult.cu; clarita@min.cult.cu,www.cubarte.cult.cu 
Convención de Radio y Televisión Cuba 2016,12-sep.,16-sep.,La Habana,Palacio de las Convenciones.,VIAJES CUBANACÁN S.A.,"Alfonso Noya Martínez                                                   Joel Ortega Quinteiro              

",(53 7) 839 2322,,rtvconvencion@icrt.cu,www.rtvfestival.icrt.cu
NATURALEZA DIGITAL. Concurso de Fotografía,12-sep.,17-sep.,Sancti Spiritus,Topes de Collantes. ,Gaviota Tours,"Lic.Lisbet Betancourt García
Tel.: 
",(53 7)869 5774,,director.promocion@gaviota.cu; comercial8.ventas@gaviotatours.cu,
Salón Internacional de Sistemas de Seguridad y Emergencias. SECURTEC,13-sep.,15-sep.,La Habana,PABEXPO.,,,,,,
III Congreso InternacIonal de Minería y Metalurgia MINEMETAL 2016,19-sep.,23-sep.,La Habana,La Habana,VIAJES CUBANACÁN S.A.,"Ing. Alejandra Naida Hernández Martínez 
",(53 7) 643 8072,,nayda@cipimm.minem.cu ,
X Congreso Internacional sobre Derecho Agrario.,19-sep.,21-sep.,La Habana,Hotel Nacional de Cuba. La Habana,VIAJES CUBANACÁN S.A.,"Msc. Migdalia Velázquez Pérez
Tel.: (53 7) 832 29680
Fax: (53 7) 833 3382                                  unjc@unjc.co.cu                              cuba.juristas@yahoo.es 
www.unjc.co.cu ",,,,
XXVII Congreso Internacional Cubano de Ortopedia y Traumatología,19-sep.,24-sep.,Camagüey,Centro de Eventos ORTOP,CUBATUR,Prof.Dr.MSc. Rodrigo Alvarez Cambra                                                             ,(53 7) 271 8646;  260 0361                                                         ,,cambras@fpais.sld.cu,
Congreso Internacional ABOGACIA ,19-sep.,23-sep.,La Habana,Palacio de las Convenciones.,CUBATUR,Elizabeth Moya Linares                    ,,,jsuperacion@onbc.cu,
Reunión internacional sobre Dinámica de Sistemas Socio-económicos.  ,20-sep.,24-sep.,"La Habana, Villa Clara",Universidad de La Habana y Hotel Playa Cayo Santa María. ,Gaviota Tours,Dr. BiagioSimonetti.                                                     Dra. Lourdes Cisneros Mustelier                                   ,(53 7) 832 3734                    ,,"simonetti@unisannio.it, decanato@ftur.uh.cu   ",
II Foro Internacional de Control de la Calidad y Patología de las Construcciones ,20-sep.,23-sep.,"La Habana, Cienfuegos",La Habana y Cienfuegos,HAVANATUR,MsC.Arq.Mercedes Elesther Savigne                           MsC. Ing.Héctor Alfonso Pérez Vice-P,,,,
Conferencia Científica UCIENCIA,21-sep.,23-sep.,La Habana,Hotel Nacional de Cuba u Hotel Meliá Cohiba.,CUBATUR, Alberto Fernández Reyes                  ,(53 7) 832 3734;  867 1902;  867 1905;  8618209,(53 7) 866 9366,"dgeneral@onat.gob.cu, afernandez@onat.gob.cu   ",www.mfp.cu
LABIOFAM 2016. Congreso Internacional ,26-sep.,30-sep.,La Habana,Palacio de las Convenciones de La Habana,,,,,,
I Congreso Mundial de Fijación Externa y XXVII Congreso Cubano de Ortopedia y Traumatología   ,26-sep.,1-oct.,Matanzas,Plaza América. ,CUBATUR,"Prof. DrSc. Rodrigo Álvarez Cambras
Director General CCOI ""Frank País""
",(53 7) 271 8646; 271 9055,,cambras@fpais.sld.cu,
"16 Festival Nacional de Teatro, Camagüey 2016",1-oct.,9-oct.,Camagüey,Teatros y plazas. Camagüey,PARADISO,"Gisela González Cerdeña             
",(53 7) 830 4126,,presidencia@cubaescena.cult.cu,www.cubaescena.cult.cu 
Gran Torneo de Golf “Cuba Golf”.,1-oct.,1-oct.,Matanzas,Campo de golf de Varadero ¨Varadero Golf Club¨. ,HAVANATUR,"Liubersy Pérez Guillén, Directora Adjunta Empresa Extrahotelera Palmares                                    ",(53 7) 836 2557   ,,vice.operaciones@gee.palmares.cu,
"Taller Internacional ""Maestro ante los retos del Siglo XXI """,3-oct.,6-oct.,La Habana,Sede Nacional de Asociación de Pedagogos de Cuba. ,CUBATUR,"Dr. Cs. Gilberto García Batista
",(53 7) 202 5478; (53 43) 51 9745,,"presidente@apc.rimed.cu, eventos@apc.rimed.cu  ",
XVI Congreso Nacional de la Sociedad Cubana de Obstetricia y Ginecología                 X Congreso de Perinatología Familiar                VI Congreso de Ginecología Infanto-Juvenil y Salud Reporductiva del Adolescente. VI Congreso de Ultrasonido en Obstetricia y Ginecología                                                               ,3-oct.,7-oct.,La Habana,Palacio de las Convenciones de La Habana,Havanatur, Prof Dr. Evelio Cabezas Cruz                                                                                                     ,,,gimecobs2016@infomed.sld.cu ,
"II Congreso Internacional de Economía, Contabilidad y Administración",5-oct.,6-oct.,La Habana,Hotel Habana Libre. La Habana,HAVANATUR,Dra. Vilma Hidalgo de los Santos.                         ,(53 7) 879 8450,,vilmah@rect.uh.cu ,
IV Encuentro de Desarrollo Agroalimentario Local ,3-oct.,5-oct.,La Habana,Palacio de las Convenciones.,CUBATUR,MsC. Eduardo F. Furrazola Gómez,(53 7) 643 8266                                               ,(53 7) 643 8090 ,efurrazola@ceniai.inf.cu,www.ecosis.cu
1era Convención Internacional de Transporte Marítimo y Terrestre,12-oct.,15-oct.,Artemisa ,Artemisa ,CUBATUR,Arq.Leticia C.Gómez Matos P,,,,
VIII Seminario Internacional de “Docencia Universitaria”,16-oct.,20-oct.,Cienfuegos,Hotel Unión. ,CUBATUR,Miriam Iglesias León                                                                  ,(53 43) 500140  ,,miglesia@ucf.edu.cu,www.ucf.edu.cu
I Conferencia Científica de la Universidad de Cienfuegos,16-oct.,30-oct.,Cienfuegos,Hotel Unión.,CUBATUR, Dr. Juan B. Cogollos Martínez                                   ,5343500101;50017,,rector@ucf.edu.cu,www.ucf.edu.cu
AGRODESARROLLO 2016                   III Convención Internacional  ,16-oct.,20-oct.,Matanzas,Varadero,HAVANATUR,Dr.C. Giraldo Jesús Martín Martín.                            ,(53 45) 57123,(53 45) 571225                            ,giraldo.martin@ihatuey.cu,www.ihatuey.cu
Jardines del Rey Big Game Trolling.,16-oct.,22-oct.,Ciego de Ávila,Marina Turística de Cayo Guillermo. ,ECOTUR,Osvaldo González                               ,(53 33) 301581; 301515; 301516; 301527,,comercial@cco.marlin.tur.cu,www.nauticamarlin.com
CALIDAD 2016. Simposio Internacional ,17-oct.,21-oct.,La Habana,Palacio Convenciones de La Habana, CUBATUR,"Dra.Hortensia Nancy Fernández Rodríguez
             ","(53 7) 830 0879; 830 0891, 830 0022          ",(53 7) 836 8048,nc@ncnorma.cu,www.nc.cubaindustria.cu
 UNICA 2016.12ma Conferencia Científica Internacional,17-oct.,20-oct.,Ciego de Ávila  ,Universidad de Ciego de Ávila “Máximo Gómez Báez”. ,CUBATUR,Dra.C Anisia Ruiz Gutiérrez ,"53-33-224544, 53-33-225724 ext. 1003",53-33-224544, anisia@unica.cu,www.unica.cu
VIII Conferencia Internacional sobre Arbitraje y Mediación y VII Seminario Internacional sobre Solución de Conflictos en la Propiedad Intelectual. ,17-oct.,21-oct.,La Habana,Hotel Nacional de Cuba u Hotel Meliá Cohiba. ,Cubatur,Msc. Migdalia Velázquez Pérez,(53 7) 832 29680,(53 7) 833 3382 ,"unjc@unjc.co.cu, cuba.juristas@yahoo.es ",www.unjc.co.cu 
Conferencia Internacional “GEOMOA”,18-oct.,20-oct.,Holguín,Instituto Superior Minero Metalúrgico de Moa (ISMMM). ,VIAJES CUBANACÁN S.A.,Msc.  Yurisley Valdés Mariño.                                ,(53 24) 60 6502 Ext. X. 608190.  ,,yvaldes@ismm.edu.cu,
GERIATRIA 2016,19-oct.,21-oct.,La Habana,Palacio de las Convenciones de La Habana,,,,,,
XIII Conferencia de Estudios Americanos: Contraofensiva imperial contra los procesos de cambios de América Latina,19-oct.,21-oct.,La Habana,"Instituto Superior de Relaciones Internacionales ""Raúl Roa García""  de La Habana",CUBATUR,"Dr. Adalberto Ronda Varona
Tel.:                                                    
                                                             
",(53 7) 206 3098,,ronda@cipi.cu,www.cipi.cu
10ma. Conferencia Internacional de Ciencias Empresariales (CICE) ,20-oct.,22-oct.,Villa Clara,Hotel Iberostar Ensenachos. ,Gaviota Tours,Dr. C. PT Carlos Cristóbal Martínez Martínez Secretaria Ejecutiva: MSc. Idalmis Acosta                 ,(53 42) 281272;  281058 al 60; 281562,(53 42) 281608               ,cristobalc@uclv.edu.cu,cice@uclv.cu
II Congreso Internacional de Ciudades y el Mar,20-oct.,22-oct.,Holguín,Holguín,CUBATUR,Arq.Emma Rodríguez Rodríguez    P,,,,
I Simposio de Citoprotección 2016,20-oct.,23-oct.,Matanzas,Hotel Meliá Marina Varadero. ,HAVANATUR,Gerardo Enrique Guillén Nieto,(53 7) 250 4495                                                   ,(53 7) 250 4494,gerardo.guillen@cigb.edu.cu,
VI Simposio de Bioinformática ,20-oct.,23-oct.,Matanzas,Hotel Meliá Marina Varadero,HAVANATUR,Gerardo Enrique Guillén Nieto      ,(53 7) 250 4495,(5 -7) 250 4494,gerardo.guillen@cigb.edu.cu,
Conferencia Internacional de Ciencias Empresariales,21-oct.,23-oct.,Villa Clara,Hotel Iberostar Ensenachos. Cayos de Villa Clara    ,Gaviota Tours,Dr. C. PT Carlos Cristóbal Martínez Martínez                      ,(53 42) 281273                                              ,,cice@uclv.cu,
IX Encuentro Internacional de Estudiantes de Psicología,23-oct.,27-oct.,La Habana,Universidad de la Habana (Facultad de Psicología),CUBATUR,MSc. Karelín López Sánchez (Presidente)           Lic. Jorge Enrique Torralbas Osle (Coordinador general)                                                         ,(53 7) 870 4617,,encuentro@psico.uh.cu,www.psicoencuentro.uh.cu 
Fiesta de la Cultura Iberoamericana.,24-oct.,30-oct.,Holguín,Casa Iberoamericana. ,Paradiso,"Dr. C. Eduardo Rafael Avila Rumayor   
  ",(53 24) 427775,,earumayor@baibrama.cult.cu,www.casadeiberoamerica.cult.cu
Congreso CONPEHT,24-oct.,29-oct.,La Habana,Palacio de las Convenciones. ,CUBATUR,Cecilia H. Moleón Mejías,(53 7) 204 4575; Piz. 206 48 50 al 54. Ext. 215,,cecilia@formatur.cu,
"II Taller Internacional de Pesca, Contaminación y Medio Ambiente",25-oct.,28-oct.,La Habana,La Habana,CUBATUR,Rafael Tizol Correa  ,(53 7) 209 7875                       ,,tizol@cip.alinet.cu,
GERONTOGER 2016,26-oct.,28-oct.,La Habana,Palacio de las Convenciones de La Habana,CUBATUR,Dr.Humberto Arencibia Pérez                                                 ,(53 7) 838 2146,,humberto.arencibia@infomed.sld.cu,
"25 Festival Internacional de Ballet de La Habana ""Alicia Alonso""",28-oct.,6-nov.,La Habana,"Gran Teatro de La Habana. Subsedes: Teatro Mella, Teatro Nacional, Teatro Karl Marx.",Paradiso,"Presidenta del Comité Organizador: Alicia Alonso
Coordinador: Heriberto Cabezas
",(53 7) 835 2948; 835 3920,(53 7) 833 3117   ,"festivalhabana@balletcuba.cult.cu, bnc@cubarte.cult.cu","www.festivalballethabana.com, www.festivalballethabana.cult.cu"
"Convención de Ciencia, Tecnología e Innovación",31-oct.,4-nov.,La Habana,Palacio de las Convenciones. ,VIAJES CUBANACÁN S.A.,Mirtha Quesada,(534 7) 202 7591; 206 5621,,mquesada@idict.cu,
"XXXIV Feria Internacional de La Habana, FIHAV",31-oct.,5-nov.,La Habana,PABEXPO.,,,,,,
IV Taller de Zeolitas Cubanas ,7-nov.,9-nov.,Holguín,"EES Empresa Geominera Oriente, UEB Geominera Holguín. ",CUBATUR,"Ing. Aramis Laserra Portuondo (Presidente)

 ",(53 22) 642624,,alaserra@geominera.co.cu,
XII Congreso Cubano de Cirugía                                   ,7-nov.,10-nov.,La Habana,Palacio de las Convenciones de La Habana,CUBATUR,Dr. C. Manuel Cepero Nogueira                            Tel.: (53 7) 273 0708; 273 0709                                mcepero@infomed.sld.cu,,,,
VI Taller Internacional de Diseño y Conducción de Ensayos Clínicos,7-nov.,10-nov.,La Habana,Palacio de las Convenciones.,VIAJES CUBANACÁN S.A.,Dr. Alberto Hernández Rodríguez                                ,,,alberto@cencec.sld.cu,
“ENERMOA” Eficiencia energética y energía renovable,8-nov.,10-nov.,Holguín,Instituto Superior Minero Metalúrgico de Moa (ISMMM). ,VIAJES CUBANACÁN S.A.,Dr.C. Reineris Montero Laurencio.,(53 24) 60 6502; 604476,,rmontero@ismm.edu.cu ,
COMEC 2016. IX Conferencia Científica Internacional de Ingeniería Mecánica ,13-nov.,16-nov.,Villa Clara,Hotel EUROSTARS Cayo Santa María. ,Gaviota Tours,Dr. C. Norge Isaías Coello Machado (Presidente)  Dr.C. Idalberto Mendoza Díaz (Coordinador )  Dr. C. Yudieski Bernal Aguilar (Secretario Ejecutivo)     Tel.:                                                                                                        eventos.fim.uclv.edu.cu/ ,(53 42) 281630,,yba@uclv.edu.cu,
Conferencia Internacional de Ingeniería Mecánica,14-nov.,17-nov.,Villa Clara,HTL Eurostars Cayo Santa María.,Gaviota Tours,"Universidad de las Villas.                                          MSc. Ing. Yudieski Bernal Aguilar
Secretario Ejecutivo MAS XXI 2013
Facultad de Ingeniería Mecánica
Universidad Central “Marta Abreu” de Las Villas",(53) 42 281017 ext. 16769,,yba@uclv.edu.cu,
"XVIII Evento Internacional: La enseñanza de la Matemática, la Estadística y la Computación",14-nov.,18-nov.,Matanzas,Hotel Acuazul. Varadero. Matanzas,CUBATUR,MSC. Bernardino Almeida Carazo                         ,(53 45) 291503                                                    ,,bcarazo@ucp.ma.rimed.cu  ,
Encuentro de Amigos y Clientes de Partagás.,14-nov.,18-nov.,La Habana,Casa del Habano Partagás. ,CUBATUR,"EMILIO CALVO PEDROSO
DIRECTOR GENERAL SUCURSAL COMERCIAL CARACOL ESPECIALIZADA  ",,,emilio@thabana.caracol.cu,
XIV Congreso de la Sociedad Cubana de Anatomía Patológica,14-nov.,18-nov.,La Habana,Palacio de las Convenciones de La Habana,CUBATUR,Dr. Israel Borrajero Martínez,"(53 7) 787 1630, 7255-3213, 7255-32141629, 1681              ",,telepatol@hha.sld.cu,
VII Congreso Nacional de Higiene y Epidemiologia,15-nov.,18-nov.,Habana,Palacio de las Convenciones de La Habana,Havanatur,Dr. Ediberto González Ochoa                                                           ,(53 7) 255 3213; 255-3214,, eddy.ochoa@infomed.sld.cu,
XIX Taller Internacional: Nueva Ciencia Política.,16-nov.,18-nov.,Habana,Hotel Nacional de La Habana,HAVANATUR,"Thalia Fung Riveron
Dirección: Calle 15 # 313, esquina H",(53 7) 832 1091,,"muklan@ffh.uh.cu,thaliafung@infomed.sld.cu",
IBERGECYT 2016. XIV Seminario Iberomericano para el Intercambio y la Actualización en Gerencia de Ciencia y Tecnología ,16-nov.,18-nov.,Habana,Hotel Habana Libre,CUBATUR,"MSc. Betina Palenzuela Corcho,   Presidenta,  ",(53 7) 202 7920; 203 0160; 203 24 91,(53 7) 204 9664,ibergecyt2014@gecyt.cu; betina@gecyt.cu,www.gecyt/ibergecyt2016
JAZZ PLAZA 2016. Edición 32 del Festival Internacional ,16-nov.,19-nov.,Habana,"Teatro Mella, CC Plaza, Pabellón Cuba",Paradiso,Victor Rodríguez García. Director del Centro Nacional de Música Popular, (53 7) 202 4232 ,,direccion@cnmp.cult.cu;nilda@cnmp.cult.cu; pablojazz@cubarte.cult.cu,www.decubajazz.com
YAYABOCIENCIA 2016. III Conferencia Científica Internacional de la UNISS      ,18-nov.,20-nov.,Sancti Spíritus,Universidad de Sancti Spiritus “José Martí Pérez” ,VIAJES CUBANACÁN S.A.,MSc.  Antonio Mendoza de la Cruz              ,(53 41) 336509,,antonio@uniss.edu.cu,www.uniss.edu.cu
18 Convención Científica de Ingeniería y Arquitectura,21-nov.,25-nov.,Habana,Palacio de las Convenciones,HAVANATUR,Dra. Alicia Alonso Becerra,(53 7) 260 8030; 260 3200,(53 7) 2677129,alicia@tesla.cujae.edu.cu,www.ccia.cujae.edu.cu
EcoCIEC,21-nov.,25-nov.,Ciego de Ávila,Melíá Cayo Coco,VIAJES CUBANACÁN S.A.,Fabián Pina Amargós,(53 33) 301136,(5333) 301151,eventoxxv@ciec.cu,www.ciec.cu/eventoxxv
50 Aniversario de la Docencia Médica en la Región Central,21-nov.,25-nov.,Villa Clara,Centro de Convenciones Bolivar. ,VIAJES CUBANACÁN S.A.,Dr. Adrian Moreno Arias,,, adrianma@ucm.vcl.sld.cu,
IV Smposio Visión Salud Bucal,21-nov.,25-nov.,Habana,La Habana,VIAJES CUBANACÁN S.A.,Dra. Estela Gispert Abreu,,,"estela@infomed.sld.cu, gispert@infomed.sld.cu",
XX Congreso Científico Internacional del INCA,22-nov.,24-nov.,Mayabeque,Instituto Nacional de Ciencias Agropecuarias (INCA),PARADISO,Dra. María del Carmen Pérez Hernández,(53 47) 863867,(53 47)  863867,mcperez@inca.edu.cu,www.inca.edu.cu
Conferencia Científica UCIENCIA,23-nov.,25-nov.,Habana,Universidad de Ciencias Informáticas (UCI),HAVANATUR,Presidenta: Dra. Miriam Nicado  García. Secretario Ejecutivo: Dr. Ruber Hernández García. Ing.: Nadiela Milan Cristo                                                                                                               ,"(53 7) 8372677, (53 7) 8372573",,"ncristo@uci.cu, rhernandezg@uci.cu",
XXI Festival Benny Moré,24-nov.,27-nov.,Cienfuegos,Centro Cult Benny Moré,Paradiso,Augusto Enríquez,"(53 7) 836 8865; 52644981(móvil), (53 43) 511879 ",,"augusto@cubarte.cult.cu,paradiso@sccfg.artex.cu",www.paradiso.cu
Encuentro de Jóvenes Profesionales,24-nov.,26-nov.,Santiago de Cuba,Santiago de Cuba,CUBATUR,Ing.María E. Luna Castellanos P,,,,
XVII Conferencia Internacional de la Asociación Americana de Juristas. ,28-nov.,30-nov.,Habana,Hotel Nacional de Cuba,VIAJES CUBANACÁN S.A.,Msc. Migdalia Velázquez Pérez                                                        ,(53 7) 832 29680,(53 7) 833 3382,"cuba.juristas@yahoo.es, unjc@unjc.co.cu",www.unjc.co.cu
Immunotherapy 2016,1-dic.,5-dic.,Habana,Hotel Nacional de Cuba,HAVANATUR,Pendiente,,,,
XXXVIII Festival Internacional del Nuevo Cine Latinoamericano.,1-dic.,11-dic.,Habana,"Hotel Nacional, Casa del Festival, Pabellón Cuba, Cines de la Capital y las Provincias",Paradiso,"Ivan Giroud Garate. 
 
 ",(53 7) 838 2854 o (53 7) 838 2864,,presidencia@festival.icaic.cu,www.habanafilmfestival.com
FIART`16. IXX Feria Internacional de Artesanía ,5-dic.,18-dic.,Habana,PABEXPO,Paradiso,"Jorge Alfonso (Presidente)
Vicepresidentas: Mercy Correa y Beatriz Blanco.   ",(53 7) 833 0508;  833 0911,,fiart@fcbc.cu;  fcbc@fcbc.cu; eventos2@paradis.artex.cu; jeventos@paradis.artex.cu,
II Simposio Internacional sobre Muerte Súbita Cardiovascular. ,7-dic.,9-dic.,Habana,Palacio de las Convenciones de La Habana,,,,,,
"IDIFARMA 2016. III Congreso Internacional de Investigación, Desarrollo e Innovación Tecnológica de la Industria Farmacéutica. ",7-dic.,9-dic.,Habana,Palacio de las Convenciones de La Habana,,,,,,
Congreso Internacional  “Controlando a la diabetes y a sus complicaciones más severas”,10-dic.,13-dic.,Matanzas,Hotel Melia Marina Varadero,Gaviota Tours,Ing. Osvaldo Reyes Acosta (Centro de ingeniería Genética y Biotecnología), (535) 2794319 ,,osvaldo.reyes@cigb.edu.cu,
Gran Prix de Judo (M y F),1/22/2016,1/24/2016,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040348,,pedro@cubadeportes.cu,
Serie  Mundial de Boxeo (M),Febrero,Febrero,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040349,,pedro@cubadeportes.cu,
Serie  Mundial de Boxeo (M),Febrero,Febrero,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040350,,pedro@cubadeportes.cu,
Torneo ¨Cerro Pelado-Granma¨ de Lucha. (M y F) ,Febrero,Febrero,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040351,,pedro@cubadeportes.cu,
Copa Iberoamericana de Triatlón (M y F),2/12/2016,2/15/2016,La Habana,Marina Hemingway,CUBADEPORTE,Pedro Urquía,(537)2040352,,pedro@cubadeportes.cu,
Match de Retadores de Canotaje (M y F),3/1/2016,3/15/2016,Matanzas,,CUBADEPORTE,Pedro Urquía,(537)2040353,,pedro@cubadeportes.cu,
XXXV Torneo ¨Manuel Suárez¨ y Torneo Sub 17 de Levantamiento de Pesas. (M y F),3/7/2016,3/14/2016,Matanzas,,CUBADEPORTE,Pedro Urquía,(537)2040354,,pedro@cubadeportes.cu,
Copa ¨Ramón Fonts¨ de Espada. (M y F),3/11/2016,3/14/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040355,,pedro@cubadeportes.cu,
Torneo de Sable. (M y F),3/11/2016,3/14/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040356,,pedro@cubadeportes.cu,
Grand Prix de La Habana de Florete. (M y F),3/11/2016,3/14/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040357,,pedro@cubadeportes.cu,
Torneo ¨Capitán San Luis¨ de Pelota Vasca. I Fase. (M y F),3/12/2016,3/18/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040358,,pedro@cubadeportes.cu,
Copa ¨Marcelo Salado¨ de Natación. I Fase (M y F),3/20/2016,3/25/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040359,,pedro@cubadeportes.cu,
II Encuentro Cuba-Italia y Copa Internacional Máster de Kárate-Do,3/24/2016,3/27/2016,Santiago de Cuba,,CUBADEPORTE,Pedro Urquía,(537)2040360,,pedro@cubadeportes.cu,
Torneo ¨Giraldilla de La Habana¨ de Bádminton. (M y F),3/28/2016,4/1/2016,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040361,,pedro@cubadeportes.cu,
Copa ¨Marcelo Salado¨ de Natación. II Fase. (M yF),3/31/2016,4/3/2016,Matanzas,,CUBADEPORTE,Pedro Urquía,(537)2040362,,pedro@cubadeportes.cu,
Serie  Mundial de Boxeo,Marzo,Marzo,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040363,,pedro@cubadeportes.cu,
Serie  Mundial de Boxeo,Marzo,Marzo,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040364,,pedro@cubadeportes.cu,
Serie  Mundial de Boxeo,3/31/2016,3/31/2016,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040365,,pedro@cubadeportes.cu,
"Torneo internacional de GO, categoría infantil.",4/1/2016,4/3/2016,La Habana,-,CUBADEPORTE,Pedro Urquía,(537)2040366,,pedro@cubadeportes.cu,
Serie  Mundial de Boxeo (semifinales),Abril,Abril,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040367,,pedro@cubadeportes.cu,
Serie  Mundial de Boxeo (semifinales),Abril,Abril,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040368,,pedro@cubadeportes.cu,
Torneo Internacional de Fotografía Subacuática. Photosub 2016,Abril,Abril,La Habana,,ECOTUR,,,,,
